example_id                                         | status  | run_time        |
./spec/models/trip_spec.rb[1:1:2]                  | passed  | 0.70961 seconds |
./spec/models/trip_spec.rb[1:1:3:1]                | passed  | 0.69383 seconds |
./spec/models/trip_spec.rb[1:1:3:2]                | passed  | 0.71519 seconds |
./spec/models/trip_spec.rb[1:1:3:3]                | passed  | 0.70069 seconds |
./spec/models/trip_spec.rb[1:1:3:4]                | passed  | 0.74029 seconds |
./spec/models/user_spec.rb[1:1]                    | passed  | 0.73987 seconds |
./spec/models/user_spec.rb[1:2]                    | passed  | 0.74977 seconds |
./spec/models/user_spec.rb[1:3]                    | passed  | 0.58938 seconds |
./spec/models/user_spec.rb[1:4]                    | passed  | 0.67462 seconds |
./spec/models/user_spec.rb[1:5]                    | passed  | 0.78871 seconds |
./spec/models/user_spec.rb[1:6]                    | passed  | 0.59894 seconds |
./spec/models/user_spec.rb[1:7]                    | passed  | 0.73506 seconds |
./spec/models/user_spec.rb[1:8]                    | passed  | 0.63441 seconds |
./spec/models/user_spec.rb[1:9]                    | passed  | 0.64344 seconds |
./spec/models/user_spec.rb[1:10]                   | passed  | 0.6474 seconds  |
./spec/models/user_spec.rb[1:11]                   | passed  | 0.63625 seconds |
./spec/models/user_spec.rb[1:12]                   | passed  | 0.63812 seconds |
./spec/models/user_spec.rb[1:13]                   | passed  | 1.26 seconds    |
./spec/views/home/index.html.erb_spec.rb[1:1]      | pending | 0.00001 seconds |
